Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@javeye,@javeye,<[2020-05-10T22:29:09.193Z]>,User,,,,,,,Wed Jan 16 13:06:50 COT 2013,,,,"Periodista, siempre. Premio Vida y Obra Club de la Prensa Medellín 2017. Director programa ASI VA ANTIOQUIA. Múnera Eastman790AM, lunes a viernes, 7 a 7:30 pm.",,http://pbs.twimg.com/profile_images/1111767337353576448/HEeIa5ie_bigger.jpg,4314,5052,Javier Velásquez Y.,"Medellín, Colombia",,,
1259611465872531458,"El problema no sólo es de #Rappi si no de los que deciden pedir domicilio en un día como hoy, a mi me ha ido muy bien con la app y el servicio prime, pero porque tengo mis horarios, fechas y lugares para pedir.",<[2020-05-10T22:29:15.753Z]>,Tweet,,,,,,,Sun May 10 17:29:10 COT 2020,es,FALSE,,,,,,,,,,,
1259611473959149570,"El viernes decidí que mejor le hacía el almuercito a mi mamá y no me confiaba del domicilio como único medio para que mi mamá almorzara diferente y rico. Fui y compré los ingredientes, y hoy con mi hermano lo preparé. No me arrepiento de nada. #Rappi",<[2020-05-10T22:29:17.693Z]>,Tweet,,,,,,,Sun May 10 17:29:12 COT 2020,es,FALSE,,,,,,,,,,,
@inexistentesoy,@inexistentesoy,<[2020-05-10T22:29:17.693Z]>,User,,,,,,,Wed Feb 10 18:00:21 COT 2010,,,,Esta página no existe.,,http://pbs.twimg.com/profile_images/1259209362708586496/22MGDdk-_bigger.jpg,368,238,Dovbrek,instagram.com/disluna21,,,
1259611481206915072,"RT @pulzo: A Rappi le tocó ‘llorar’ luego de colapso que se pegó este Día de la Madre, en Colombia https://t.co/PwqplU2Cuz https://t.co/ZQm…",<[2020-05-10T22:29:19.437Z]>,Tweet,,,,,,,Sun May 10 17:29:14 COT 2020,es,FALSE,,,,,,,,,,,
@gracias_uribe,@gracias_uribe,<[2020-05-10T22:29:19.437Z]>,User,,,,,,,Mon Mar 23 16:41:15 COT 2020,,,,AntiComunista,,http://pbs.twimg.com/profile_images/1256246973549760512/Nb7KQ-rk_bigger.jpg,932,114,graciasUribeVelez,"Nueva York, USA",,,
1259611482192580611,RT @hyperconectado: Leyendo las quejas sobre #Rappi.  😂 https://t.co/2DBI4xYsCV,<[2020-05-10T22:29:19.579Z]>,Tweet,,,,,,,Sun May 10 17:29:14 COT 2020,es,FALSE,,,,,,,,,,,
@ultrahumano,@ultrahumano,<[2020-05-10T22:29:19.579Z]>,User,,,,,,,Tue Jul 22 12:34:52 COT 2008,,,,Fanático de lo sensual. Ateo y mamerto. Mi mamá dice que soy súper. Funcionario púbico.,,http://pbs.twimg.com/profile_images/1154508207303385088/y57KVsva_bigger.jpg,1028,879,Ultrahumano,Un lugar de la Marcha.,,,
1259611485757739008,"RT @Bellealouette: No entiendo, ¿Sus mamás se quedaron sin almuerzo del día de la madre porque  Rappi demoro el pedido?
¿Y todas esas recet…",<[2020-05-10T22:29:20.401Z]>,Tweet,,,,,,,Sun May 10 17:29:15 COT 2020,es,FALSE,,,,,,,,,,,
@toddaskim,@toddaskim,<[2020-05-10T22:29:20.401Z]>,User,,,,,,,Sun Dec 10 22:38:13 COT 2017,,,,"Adhiero a las formas antiguas, que son siempre más frontales y naturales que las modernas.",,http://pbs.twimg.com/profile_images/1259534530274373633/68fEmwym_bigger.jpg,1129,125,Richard Tex,,,,
